"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","197","Неуспешное создание заказа авторизованным пользователем с не существующими ингредиентами","tests","Wed Jul 09 21:02:47 GMT+07:00 2025","passed","Wed Jul 09 21:02:48 GMT+07:00 2025","TestOrders","test_order","",""
"","279","Проверка входа с несуществующим паролем","tests","Wed Jul 09 21:02:42 GMT+07:00 2025","passed","Wed Jul 09 21:02:42 GMT+07:00 2025","TestLoginUser","test_login_user","",""
"","283","Проверка входа под существующим пользователем","tests","Wed Jul 09 21:02:41 GMT+07:00 2025","passed","Wed Jul 09 21:02:41 GMT+07:00 2025","TestLoginUser","test_login_user","",""
"","192","Проверка создания пользователя с невалидными данными","tests","Wed Jul 09 21:02:49 GMT+07:00 2025","passed","Wed Jul 09 21:02:49 GMT+07:00 2025","TestRegisterUser","test_register_user","",""
"","198","Проверка создания пользователя с невалидными данными","tests","Wed Jul 09 21:02:49 GMT+07:00 2025","passed","Wed Jul 09 21:02:50 GMT+07:00 2025","TestRegisterUser","test_register_user","",""
"","198","Проверка входа с несуществующим email","tests","Wed Jul 09 21:02:42 GMT+07:00 2025","passed","Wed Jul 09 21:02:42 GMT+07:00 2025","TestLoginUser","test_login_user","",""
"","289","Успешная регистрация пользователя","tests","Wed Jul 09 21:02:48 GMT+07:00 2025","passed","Wed Jul 09 21:02:49 GMT+07:00 2025","TestRegisterUser","test_register_user","",""
"","204","Неуспешное создание заказа без авторизации пользователя с существующими ингредиентами","tests","Wed Jul 09 21:02:47 GMT+07:00 2025","failed","Wed Jul 09 21:02:47 GMT+07:00 2025","TestOrders","test_order","",""
"","197","Неуспешное создание заказа авторизованным пользователем при отсутствии ингредиентов","tests","Wed Jul 09 21:02:48 GMT+07:00 2025","passed","Wed Jul 09 21:02:48 GMT+07:00 2025","TestOrders","test_order","",""
"","2531","Успешное создание заказа авторизованным пользователем существующими ингредиентами","tests","Wed Jul 09 21:02:43 GMT+07:00 2025","passed","Wed Jul 09 21:02:46 GMT+07:00 2025","TestOrders","test_order","",""
"","401","Проверка регистрации существующего пользователя","tests","Wed Jul 09 21:02:49 GMT+07:00 2025","passed","Wed Jul 09 21:02:49 GMT+07:00 2025","TestRegisterUser","test_register_user","",""
"","191","Проверка создания пользователя с невалидными данными","tests","Wed Jul 09 21:02:49 GMT+07:00 2025","passed","Wed Jul 09 21:02:49 GMT+07:00 2025","TestRegisterUser","test_register_user","",""
